start_time,end_time,lyric,vocal1,vocal2,duration
"00:02:15,460","00:02:18,520",naega weonhaneun geon geuge aninde,Nayeon,,3.06
"00:02:18,840","00:02:20,940",Signal bonae Signal bonae,Tzuyu,,2.1
"00:02:20,940","00:02:22,940","Jjirit, jjirit, jjirit, jjirit",Tzuyu,,2
"00:02:22,940","00:02:27,440",nan neoreul weonhae nan neoreul weonhae wae baneungi eomni,Tzuyu,,4.5
"00:02:27,440","00:02:30,580",mannal ttae mada maeumeul dama,Sana,,3.14
"00:02:30,580","00:02:32,180",jjirit jjirit jjirit jjirit,Sana,,1.6
"00:02:32,180","00:02:37,320",gidarijana da boijana wae alji motani,Sana,,5.14
"00:02:37,420","00:02:39,660",Durudududururududu,ALL,,2.24
"00:02:39,660","00:02:41,640",Jjirit Jjirit Jjirit Jjrit,ALL,,1.98
"00:02:41,640","00:02:43,920",Dururudududururududu,ALL,,2.28
"00:02:43,920","00:02:45,880",wae baneungi eomni,Jihyo,,1.96
"00:02:45,880","00:02:48,820",Dururudududururududu,ALL,,2.94
"00:02:48,820","00:02:51,000",Jjirit jjirit jjirit jjirit,ALL,,2.18
"00:02:51,000","00:02:52,960",Dururudududururududu,ALL,,1.96
"00:02:52,960","00:02:55,120",wae alji motani,Nayeon,,2.16
"00:02:55,120","00:02:59,540",Sign-eul bonae Signal bonae geunde jeonhyeo an tonghae,Momo,,4.42
"00:03:00,040","00:03:02,360",nunbicheul bonae nunchireul june ,Mina,,2.32
"00:03:02,360","00:03:04,220",geunde mot aradeunne,Mina,,1.86
"00:03:04,400","00:03:07,260",dapdapaeseo michigetta jeongmal,Momo,,2.86
"00:03:07,720","00:03:09,900",wae geureonji moreugetta jeongmal,Mina,,2.18
"00:03:10,140","00:03:11,780",dashi han beon himeul naeseo,Momo,,1.64
"00:03:12,120","00:03:14,140",Sign-eul bonae Signal bonae,Momo,Mina,2.02
